episode,reward
1,-1.0
2,2.0
3,-10.0
4,11.0
5,0.0
6,0.0
7,-27.0
8,-5.0
9,-5.0
10,0.0
11,4.0
12,0.0
13,-13.0
14,-25.0
15,-1.0
16,-2.0
17,-9.0
18,2.0
19,-6.0
20,-12.0
21,7.0
22,9.0
23,-14.0
24,-8.0
25,-6.0
26,-5.0
27,7.0
28,3.0
29,5.0
30,-30.0
31,-10.0
32,-8.0
33,-24.0
34,-5.0
35,0.0
36,1.0
37,3.0
38,-5.0
39,-3.0
40,-13.0
41,-1.0
42,-14.0
43,-2.0
44,4.0
45,-9.0
46,-1.0
47,3.0
48,-5.0
49,-5.0
50,7.0
51,6.0
52,-2.0
53,3.0
54,-7.0
55,3.0
56,0.0
57,-3.0
58,1.0
59,10.0
60,-5.0
61,8.0
62,-1.0
63,1.0
64,-3.0
65,-4.0
66,-1.0
67,-13.0
68,-4.0
69,-8.0
70,-7.0
71,-2.0
72,-19.0
73,-1.0
74,-3.0
75,8.0
76,3.0
77,1.0
78,0.0
79,-3.0
80,0.0
81,6.0
82,13.0
83,-23.0
84,-5.0
85,2.0
86,-3.0
87,-8.0
88,-1.0
89,-2.0
90,-8.0
91,-11.0
92,5.0
93,5.0
94,-4.0
95,-7.0
96,-7.0
97,-2.0
98,6.0
99,-34.0
100,-15.0
101,-10.0
102,5.0
103,8.0
104,-7.0
105,1.0
106,0.0
107,-3.0
108,6.0
109,-11.0
110,4.0
111,-7.0
112,-11.0
113,-3.0
114,5.0
115,2.0
116,-12.0
117,1.0
118,-6.0
119,-7.0
120,-2.0
121,-16.0
122,-2.0
123,-6.0
124,-16.0
125,3.0
126,9.0
127,-10.0
128,-9.0
129,-4.0
130,6.0
131,3.0
132,-10.0
133,5.0
134,-1.0
135,-21.0
136,4.0
137,-10.0
138,-1.0
139,-1.0
140,4.0
141,-9.0
142,4.0
143,3.0
144,-14.0
145,-11.0
146,3.0
147,2.0
148,-8.0
149,1.0
150,-5.0
151,-4.0
152,7.0
153,-3.0
154,-13.0
155,-7.0
156,4.0
157,6.0
158,-12.0
159,-6.0
160,0.0
161,-5.0
162,-6.0
163,0.0
164,-5.0
165,-5.0
166,-2.0
167,-13.0
168,-7.0
169,1.0
170,-8.0
171,-11.0
172,0.0
173,-12.0
174,8.0
175,7.0
176,3.0
177,-2.0
178,-15.0
179,-11.0
180,4.0
181,-10.0
182,0.0
183,-21.0
184,-16.0
185,-14.0
186,-2.0
187,3.0
188,-1.0
189,-17.0
190,-11.0
191,-3.0
192,3.0
193,-4.0
194,6.0
195,-11.0
196,-22.0
197,0.0
198,-5.0
199,-4.0
200,-8.0
201,-8.0
202,-4.0
203,-6.0
204,2.0
205,-6.0
206,-20.0
207,4.0
208,-8.0
209,-6.0
210,4.0
211,3.0
212,-2.0
213,-5.0
214,-4.0
215,-6.0
216,-2.0
217,-11.0
218,-1.0
219,-4.0
220,-1.0
221,0.0
222,4.0
223,4.0
224,1.0
225,-2.0
226,-5.0
227,-8.0
228,-4.0
229,4.0
230,7.0
231,2.0
232,0.0
233,-5.0
234,-2.0
235,1.0
236,1.0
237,8.0
238,0.0
239,1.0
240,2.0
241,-7.0
242,-15.0
243,-5.0
244,-3.0
245,4.0
246,-4.0
247,-7.0
248,4.0
249,-11.0
250,-37.0
251,-3.0
252,13.0
253,2.0
254,-4.0
255,2.0
256,-7.0
257,-3.0
258,-12.0
259,-12.0
260,-13.0
261,7.0
262,2.0
263,0.0
264,2.0
265,-2.0
266,-12.0
267,-5.0
268,1.0
269,-3.0
270,-5.0
271,-8.0
272,1.0
273,-2.0
274,9.0
275,2.0
276,-1.0
277,-7.0
278,-4.0
279,-3.0
280,0.0
281,-5.0
282,-3.0
283,0.0
284,-6.0
285,12.0
286,-3.0
287,-8.0
288,-2.0
289,-10.0
290,-39.0
291,-5.0
292,-5.0
293,-11.0
294,5.0
295,2.0
296,0.0
297,4.0
298,7.0
299,-18.0
300,-7.0
301,7.0
302,-7.0
303,2.0
304,0.0
305,-8.0
306,4.0
307,-8.0
308,3.0
309,-1.0
310,-8.0
311,-14.0
312,3.0
313,-19.0
314,-19.0
315,1.0
316,-6.0
317,1.0
318,-2.0
319,-7.0
320,0.0
321,10.0
322,7.0
323,-10.0
324,6.0
325,-5.0
326,-9.0
327,2.0
328,-4.0
329,-3.0
330,-3.0
331,0.0
332,-3.0
333,0.0
334,-12.0
335,6.0
336,-9.0
337,-12.0
338,-5.0
339,-2.0
340,0.0
341,1.0
342,-19.0
343,-6.0
344,3.0
345,3.0
346,1.0
347,-2.0
348,-5.0
349,8.0
350,-7.0
351,-11.0
352,5.0
353,-3.0
354,-21.0
355,-5.0
356,-8.0
357,1.0
358,0.0
359,-10.0
360,3.0
361,-15.0
362,-4.0
363,-2.0
364,10.0
365,2.0
366,2.0
367,5.0
368,3.0
369,0.0
370,3.0
371,-31.0
372,5.0
373,-7.0
374,0.0
375,3.0
376,-8.0
377,5.0
378,-24.0
379,0.0
380,-1.0
381,5.0
382,4.0
383,-2.0
384,-3.0
385,-13.0
386,3.0
387,12.0
388,1.0
389,-1.0
390,-14.0
391,-9.0
392,-1.0
393,-11.0
394,-1.0
395,-4.0
396,-11.0
397,-3.0
398,-7.0
399,-9.0
400,-32.0
401,-13.0
402,5.0
403,7.0
404,15.0
405,-12.0
406,4.0
407,-5.0
408,-1.0
409,-10.0
410,-7.0
411,0.0
412,-16.0
413,-8.0
414,-4.0
415,-17.0
416,-6.0
417,9.0
418,-2.0
419,-6.0
420,-9.0
421,-1.0
422,1.0
423,-15.0
424,-1.0
425,7.0
426,-4.0
427,-2.0
428,-8.0
429,3.0
430,-7.0
431,-12.0
432,-10.0
433,5.0
434,2.0
435,3.0
436,6.0
437,-10.0
438,10.0
439,-8.0
440,5.0
441,4.0
442,2.0
443,0.0
444,-5.0
445,3.0
446,2.0
447,0.0
448,-24.0
449,-3.0
450,-3.0
451,-6.0
452,-24.0
453,10.0
454,-1.0
455,-6.0
456,7.0
457,-4.0
458,-4.0
459,-5.0
460,2.0
461,4.0
462,-11.0
463,-1.0
464,-4.0
465,-13.0
466,7.0
467,-1.0
468,-1.0
469,-12.0
470,-33.0
471,3.0
472,-12.0
473,8.0
474,1.0
475,-12.0
476,-3.0
477,-5.0
478,-8.0
479,-3.0
480,-4.0
481,-8.0
482,-2.0
483,4.0
484,-5.0
485,2.0
486,-13.0
487,3.0
488,-2.0
489,5.0
490,-22.0
491,-8.0
492,-9.0
493,1.0
494,-6.0
495,-37.0
496,3.0
497,-6.0
498,1.0
499,5.0
500,12.0
501,-17.0
502,-13.0
503,5.0
504,5.0
505,-3.0
506,6.0
507,-8.0
508,-14.0
509,-10.0
510,-2.0
511,4.0
512,-1.0
513,-4.0
514,-4.0
515,-8.0
516,6.0
517,1.0
518,-9.0
519,-6.0
520,-5.0
521,-1.0
522,-6.0
523,2.0
524,-13.0
525,2.0
526,6.0
527,-9.0
528,-4.0
529,3.0
