episode,reward
1,5.0
2,-2.0
3,-12.0
4,-11.0
5,5.0
6,22.0
7,1.0
8,-7.0
9,311.0
10,-13.0
11,1.0
12,0.0
13,-1.0
14,-15.0
15,-3.0
16,0.0
17,-6.0
18,-3.0
19,-2.0
20,-1.0
21,-4.0
22,-3.0
23,5.0
24,6.0
25,0.0
26,-28.0
27,-2.0
28,7.0
29,-3.0
30,3.0
31,-3.0
32,13.0
33,-7.0
34,-28.0
35,-1.0
36,-2.0
37,6.0
38,-12.0
39,-1.0
40,-3.0
41,-16.0
42,5.0
43,1.0
44,-6.0
45,-19.0
46,311.0
47,-10.0
48,-1.0
49,-12.0
50,-12.0
51,2.0
52,-4.0
53,5.0
54,-2.0
55,296.0
56,-1.0
57,-31.0
58,2.0
59,0.0
60,0.0
61,-3.0
62,12.0
63,-14.0
64,-8.0
65,1.0
66,8.0
67,311.0
68,-7.0
69,202.0
70,-15.0
71,0.0
72,311.0
73,-12.0
74,-9.0
75,22.0
76,-9.0
77,-7.0
78,-27.0
79,9.0
80,2.0
81,6.0
82,4.0
83,-16.0
84,1.0
85,6.0
86,321.0
87,-1.0
88,0.0
89,-8.0
90,7.0
91,298.0
92,310.0
93,-5.0
94,2.0
95,2.0
96,-1.0
97,6.0
98,-11.0
99,311.0
100,-14.0
101,298.0
102,14.0
103,16.0
104,-6.0
105,2.0
106,9.0
107,13.0
108,1.0
109,-3.0
110,5.0
111,5.0
112,-3.0
113,298.0
114,-20.0
115,-9.0
116,5.0
117,4.0
118,2.0
119,-6.0
120,-9.0
121,-3.0
122,-9.0
123,1.0
124,9.0
125,-12.0
126,-1.0
127,-8.0
128,-3.0
129,-3.0
130,-3.0
131,3.0
132,4.0
133,7.0
134,0.0
135,-16.0
136,311.0
137,-22.0
138,-7.0
139,-3.0
140,12.0
141,-24.0
142,1.0
143,0.0
144,14.0
145,327.0
146,311.0
147,-23.0
148,-5.0
149,-10.0
150,-4.0
151,-6.0
152,9.0
153,0.0
154,298.0
155,12.0
156,-3.0
157,7.0
158,2.0
159,-12.0
160,4.0
161,15.0
162,2.0
163,-9.0
164,1.0
165,2.0
166,-5.0
167,10.0
168,-12.0
169,-2.0
170,0.0
171,-1.0
172,-6.0
173,1.0
174,-2.0
175,0.0
176,-5.0
177,7.0
178,-3.0
179,-7.0
180,8.0
181,322.0
182,4.0
183,-9.0
184,-5.0
185,0.0
186,5.0
187,-17.0
188,11.0
189,-15.0
190,-7.0
191,321.0
192,-15.0
193,1.0
194,311.0
195,-24.0
196,0.0
197,-5.0
198,-16.0
199,3.0
200,-3.0
201,3.0
202,-7.0
203,12.0
204,4.0
205,-5.0
206,321.0
207,-4.0
208,4.0
209,298.0
210,-1.0
211,-7.0
212,2.0
213,-5.0
214,7.0
215,310.0
216,-2.0
217,311.0
218,322.0
219,-2.0
220,310.0
221,0.0
222,-10.0
223,-7.0
224,311.0
225,-1.0
226,311.0
227,7.0
228,322.0
229,-13.0
230,-10.0
231,2.0
232,-25.0
233,-7.0
234,-6.0
235,-13.0
236,-2.0
237,5.0
238,2.0
239,0.0
240,-2.0
241,-19.0
242,1.0
243,-2.0
244,-7.0
245,2.0
246,2.0
247,14.0
248,-10.0
249,-8.0
250,-10.0
251,-10.0
252,-16.0
253,4.0
254,3.0
255,-13.0
256,4.0
257,-9.0
258,1.0
259,-13.0
260,311.0
261,311.0
262,311.0
263,10.0
264,8.0
265,1.0
266,1.0
267,5.0
268,4.0
269,-27.0
270,311.0
271,-7.0
272,314.0
273,-6.0
274,-6.0
275,-13.0
276,10.0
277,1.0
278,-11.0
279,-18.0
280,0.0
281,-7.0
282,-17.0
283,3.0
284,0.0
285,24.0
286,9.0
287,7.0
288,8.0
289,13.0
290,-7.0
291,-9.0
292,296.0
293,3.0
294,0.0
295,-10.0
296,2.0
297,-2.0
298,311.0
299,3.0
300,7.0
301,6.0
302,-5.0
303,6.0
304,-19.0
305,-8.0
306,-17.0
307,-7.0
308,-18.0
309,-20.0
310,-15.0
311,-9.0
312,1.0
313,11.0
314,3.0
315,245.0
316,10.0
317,0.0
318,-5.0
319,0.0
320,-13.0
321,311.0
322,-9.0
323,311.0
324,-5.0
325,2.0
326,8.0
327,-4.0
328,3.0
329,-16.0
330,5.0
331,-10.0
332,-2.0
333,8.0
334,-1.0
335,-12.0
336,16.0
337,-22.0
338,-10.0
339,-6.0
340,296.0
341,310.0
342,-9.0
343,-9.0
344,-19.0
345,-2.0
346,310.0
347,-5.0
348,10.0
349,307.0
350,-6.0
351,2.0
352,-2.0
353,3.0
354,-6.0
355,-2.0
356,4.0
357,-1.0
358,-10.0
359,2.0
360,-2.0
361,298.0
362,-5.0
363,-2.0
364,-15.0
365,-8.0
366,9.0
367,4.0
368,-7.0
369,-23.0
370,-7.0
371,-9.0
372,-4.0
373,298.0
374,-5.0
375,298.0
376,0.0
377,-24.0
378,1.0
379,1.0
380,-1.0
381,-18.0
382,-2.0
383,-11.0
384,310.0
385,311.0
386,-5.0
387,-9.0
388,311.0
389,311.0
390,24.0
391,-5.0
392,-7.0
393,311.0
394,-21.0
395,10.0
396,-7.0
397,-9.0
398,12.0
399,-7.0
400,-3.0
401,-8.0
402,-6.0
403,-20.0
404,-4.0
405,3.0
406,-3.0
407,-17.0
408,5.0
409,-4.0
410,7.0
411,-4.0
412,2.0
413,-5.0
414,18.0
415,298.0
416,-11.0
417,-11.0
418,-19.0
419,309.0
420,2.0
421,-2.0
422,-14.0
423,298.0
424,0.0
425,-11.0
426,-2.0
427,1.0
428,-13.0
429,-5.0
430,8.0
431,-2.0
432,3.0
433,-8.0
434,1.0
435,0.0
436,-9.0
437,-6.0
438,-3.0
439,-3.0
440,-9.0
441,322.0
442,311.0
443,1.0
444,0.0
445,0.0
446,-21.0
447,8.0
448,-8.0
449,-19.0
450,-8.0
451,17.0
452,1.0
453,-4.0
454,0.0
455,3.0
456,14.0
457,1.0
458,12.0
459,1.0
460,4.0
461,3.0
462,-13.0
463,-8.0
464,298.0
465,-5.0
466,311.0
467,-18.0
468,-7.0
469,-1.0
470,311.0
471,-11.0
472,6.0
473,-15.0
474,-6.0
475,-11.0
476,8.0
477,-12.0
478,0.0
479,-1.0
480,-10.0
481,-7.0
482,-10.0
483,-8.0
484,-8.0
485,0.0
486,2.0
487,-6.0
488,3.0
489,-2.0
490,-13.0
491,-16.0
492,2.0
493,3.0
494,4.0
495,-11.0
496,-11.0
497,-14.0
498,-3.0
499,6.0
500,-5.0
501,298.0
502,0.0
503,15.0
504,1.0
505,-5.0
506,-4.0
507,298.0
508,-11.0
509,311.0
510,-5.0
511,3.0
512,-2.0
513,-5.0
514,-17.0
515,-12.0
516,-15.0
517,-10.0
518,-3.0
519,-5.0
520,-13.0
521,-1.0
522,322.0
523,9.0
524,5.0
525,-14.0
526,-16.0
527,321.0
528,1.0
529,7.0
530,-6.0
531,6.0
532,-10.0
533,10.0
534,-15.0
535,10.0
536,4.0
537,9.0
538,15.0
539,25.0
540,-8.0
541,296.0
542,-1.0
543,-5.0
544,-5.0
545,5.0
546,5.0
547,-6.0
548,311.0
549,8.0
550,-1.0
551,-1.0
552,-14.0
553,-11.0
554,12.0
555,4.0
556,4.0
557,8.0
558,-8.0
559,-3.0
560,-7.0
561,-9.0
562,-1.0
563,1.0
564,-8.0
565,311.0
566,-1.0
567,7.0
568,-9.0
569,-28.0
570,-13.0
571,307.0
572,4.0
573,-23.0
574,-8.0
575,322.0
576,-11.0
577,-12.0
578,-6.0
579,298.0
580,310.0
581,-6.0
582,-10.0
583,-5.0
584,5.0
585,311.0
586,13.0
587,-1.0
588,-4.0
589,310.0
590,2.0
591,4.0
592,0.0
593,10.0
594,-3.0
595,322.0
596,-6.0
597,-11.0
598,296.0
599,4.0
600,-20.0
601,311.0
602,-11.0
603,-4.0
604,-13.0
605,-12.0
606,-1.0
607,-15.0
608,5.0
609,-1.0
610,-6.0
611,-9.0
612,-8.0
613,1.0
614,24.0
615,-11.0
616,8.0
617,-2.0
618,298.0
619,-11.0
620,-11.0
621,-19.0
622,2.0
623,13.0
624,2.0
625,0.0
626,0.0
627,-12.0
628,-5.0
629,-5.0
630,296.0
631,-3.0
632,-8.0
633,5.0
634,-12.0
635,16.0
636,-1.0
637,2.0
638,-2.0
639,22.0
640,-12.0
641,2.0
642,4.0
643,-11.0
644,-3.0
645,4.0
646,-5.0
647,-10.0
648,321.0
649,1.0
650,-10.0
651,0.0
652,-5.0
653,-5.0
654,-8.0
655,-11.0
656,-10.0
657,-8.0
658,-9.0
659,-15.0
660,-6.0
661,9.0
662,-6.0
663,-10.0
664,5.0
665,-11.0
666,-13.0
667,0.0
668,-3.0
669,-16.0
670,12.0
671,0.0
672,1.0
673,311.0
674,1.0
675,-15.0
676,322.0
677,-12.0
678,-12.0
679,322.0
680,-8.0
681,311.0
682,-3.0
683,-15.0
684,10.0
685,-1.0
686,310.0
687,10.0
688,3.0
689,-6.0
690,-2.0
691,0.0
692,-5.0
693,6.0
694,2.0
695,9.0
696,-13.0
697,0.0
698,4.0
699,-4.0
700,8.0
701,-17.0
702,-1.0
703,1.0
704,-2.0
705,20.0
706,0.0
707,-16.0
708,-3.0
709,-7.0
710,8.0
711,-23.0
712,0.0
713,-1.0
714,322.0
715,-2.0
716,-9.0
717,-14.0
718,-10.0
719,11.0
720,-2.0
721,0.0
722,-6.0
723,298.0
724,298.0
725,-12.0
726,-8.0
727,7.0
728,1.0
729,-8.0
730,-29.0
731,-8.0
732,-2.0
733,12.0
734,-2.0
735,-12.0
736,-12.0
737,-10.0
738,-12.0
739,-8.0
740,-3.0
741,-4.0
742,-6.0
743,310.0
744,-14.0
745,-2.0
746,0.0
747,2.0
748,-2.0
749,3.0
750,296.0
751,311.0
752,296.0
753,8.0
754,4.0
755,7.0
756,17.0
757,-6.0
758,2.0
759,0.0
760,2.0
761,0.0
762,311.0
763,11.0
764,2.0
765,-2.0
766,-15.0
767,-4.0
768,-2.0
769,2.0
770,-9.0
771,0.0
772,-8.0
773,9.0
774,-10.0
775,2.0
776,2.0
777,3.0
778,-15.0
779,-6.0
780,7.0
781,3.0
782,-1.0
783,7.0
784,-5.0
785,298.0
786,1.0
787,311.0
788,309.0
789,-27.0
790,298.0
791,-17.0
792,-6.0
793,-4.0
794,2.0
795,322.0
796,-6.0
797,-2.0
798,-6.0
799,7.0
800,-1.0
801,9.0
802,-15.0
803,4.0
804,4.0
805,3.0
806,-6.0
807,-6.0
808,288.0
809,12.0
810,-12.0
811,0.0
812,7.0
813,2.0
814,-19.0
815,-14.0
816,4.0
817,-2.0
818,-7.0
819,-4.0
820,-1.0
821,4.0
822,0.0
823,-8.0
824,11.0
825,298.0
826,-10.0
827,2.0
828,1.0
829,0.0
830,-10.0
831,-13.0
832,7.0
833,311.0
834,-26.0
835,6.0
836,309.0
837,-3.0
838,-12.0
839,4.0
840,311.0
841,-5.0
842,310.0
843,2.0
844,310.0
845,0.0
846,4.0
847,1.0
848,-34.0
849,-15.0
850,-14.0
851,298.0
852,-2.0
853,1.0
854,4.0
855,-7.0
856,2.0
857,-7.0
858,-26.0
859,-4.0
860,-3.0
861,-13.0
862,8.0
863,298.0
864,-23.0
865,310.0
866,-12.0
867,298.0
868,-3.0
869,1.0
870,2.0
871,-6.0
872,1.0
873,-8.0
874,-20.0
875,4.0
876,-5.0
877,-3.0
878,311.0
879,-3.0
880,1.0
881,311.0
882,3.0
883,-13.0
884,-3.0
885,-5.0
886,2.0
887,12.0
888,2.0
889,-5.0
890,-2.0
891,-2.0
892,-3.0
893,-5.0
894,-3.0
895,0.0
896,7.0
897,10.0
898,-6.0
899,322.0
900,322.0
901,0.0
902,-4.0
903,4.0
904,-1.0
905,-16.0
906,311.0
907,-2.0
908,298.0
909,8.0
910,-4.0
911,-12.0
912,-3.0
913,5.0
914,-14.0
915,-16.0
916,3.0
917,311.0
918,5.0
919,3.0
920,-21.0
921,-9.0
922,311.0
923,-13.0
924,1.0
925,2.0
926,-16.0
927,4.0
928,3.0
929,321.0
930,-9.0
931,-10.0
932,5.0
933,-16.0
934,7.0
935,-10.0
936,-2.0
937,1.0
938,-6.0
939,-13.0
940,-7.0
941,1.0
942,5.0
943,298.0
944,310.0
945,311.0
946,-3.0
947,-12.0
948,310.0
949,-8.0
950,-7.0
951,-5.0
952,0.0
953,-13.0
954,10.0
955,4.0
956,-4.0
957,-4.0
958,-7.0
959,-2.0
960,1.0
961,-14.0
962,-1.0
963,0.0
964,-9.0
965,-14.0
966,1.0
967,-15.0
968,-2.0
969,298.0
970,-8.0
971,-8.0
972,-1.0
973,8.0
974,-4.0
975,-2.0
